order_id,order_date,store_id,product_id,product_name,category,brand,quantity,price,delivery_partner,delivery_time_min,delivery_status,distance_km,stock_level,reorder_level,return_flag,revenue
1,2024-01-01 00:00:00,Store_3,1009,Eggs,Snacks,Britannia,4,66.93,Partner_X,20,On-Time,3.67,43,10,0,267.72
2,2024-01-01 01:00:00,Store_1,1018,Eggs,Dairy,Nestle,2,32.47,Partner_X,22,On-Time,2.55,42,10,0,64.94
3,2024-01-01 02:00:00,Store_3,1057,Snacks,Dairy,Britannia,1,192.77,Partner_X,18,On-Time,3.5,46,10,0,192.77
4,2024-01-01 03:00:00,Store_3,1095,Juice,Bakery,Britannia,3,106.09,Partner_Y,7,Late,4.27,46,10,0,318.27
5,2024-01-01 04:00:00,Store_1,1000,Bread,Beverages,Nestle,1,181.25,Partner_Z,16,On-Time,1.26,47,10,0,181.25
6,2024-01-01 05:00:00,Store_1,1068,Juice,Dairy,Local,1,78.0,Partner_Y,13,On-Time,0.59,41,10,0,78.0
7,2024-01-01 06:00:00,Store_3,1003,Juice,Beverages,Amul,2,42.54,Partner_X,11,On-Time,4.01,11,10,0,85.08
8,2024-01-01 07:00:00,Store_2,1015,Eggs,Dairy,Local,4,105.38,Partner_X,13,On-Time,3.24,12,10,0,421.52
9,2024-01-01 08:00:00,Store_3,1023,Juice,Dairy,Amul,1,40.51,Partner_Z,17,On-Time,3.65,3,10,0,40.51
10,2024-01-01 09:00:00,Store_3,1079,Milk,Snacks,Britannia,3,107.48,Partner_Y,22,On-Time,4.27,38,10,0,322.44
11,2024-01-01 10:00:00,Store_3,1001,Eggs,Snacks,Amul,3,185.65,Partner_Z,9,On-Time,4.11,1,10,0,556.95
12,2024-01-01 11:00:00,Store_3,1091,Milk,Snacks,Britannia,4,113.74,Partner_Y,17,On-Time,4.82,25,10,0,454.96
13,2024-01-01 12:00:00,Store_1,1031,Bread,Beverages,Local,3,130.97,Partner_X,8,On-Time,2.91,26,10,0,392.90999999999997
14,2024-01-01 13:00:00,Store_3,1090,Eggs,Bakery,Britannia,4,48.19,Partner_Z,6,On-Time,2.7,26,10,0,192.76
15,2024-01-01 14:00:00,Store_2,1083,Bread,Dairy,Local,3,27.87,Partner_Z,20,Late,2.31,14,10,0,83.61
16,2024-01-01 15:00:00,Store_1,1023,Eggs,Dairy,Nestle,2,39.95,Partner_X,13,On-Time,1.19,7,10,0,79.9
17,2024-01-01 16:00:00,Store_2,1011,Snacks,Dairy,Nestle,1,127.74,Partner_Z,13,On-Time,3.08,6,10,0,127.74
18,2024-01-01 17:00:00,Store_2,1049,Juice,Beverages,Nestle,2,37.1,Partner_Y,10,On-Time,1.75,46,10,0,74.2
19,2024-01-01 18:00:00,Store_2,1034,Snacks,Snacks,Britannia,1,87.68,Partner_Y,15,On-Time,4.65,45,10,0,87.68
20,2024-01-01 19:00:00,Store_2,1032,Bread,Bakery,Nestle,1,119.02,Partner_Y,26,On-Time,3.12,39,10,0,119.02
